Subfamily,Species,Male,Female,Ratio
out group,Synotaxus_sp_gb,4.90,6.30,1.29
out group,Nesticus_sp_gb,3.10,3.00,0.97
Pholcommatinae,Enoplognatha_caricis_gb,4.30,5.65,1.31
Pholcommatinae,Enoplognatha_margarita_gb,4.75,6.05,1.27
Pholcommatinae,Pholcomma_hirsutum_gb,1.50,1.45,0.97
Pholcommatinae,Robertus_neglectus_gb,1.90,2.25,1.18
Hadrotarsinae,Dipoena_cf_hortoni_gb,1.50,1.50,1.00
Hadrotarsinae,Euryopis_funebris_gb,2.65,3.85,1.45
Hadrotarsinae,Lasaeola_tristis_JIE24D,2.40,3.25,1.35
Hadrotarsinae,Phycosoma_mustelinum_2004_gb,3.00,3.25,1.08
Spintharinae,Episinus_affinis_gb,3.50,5.00,1.43
Spintharinae,Episinus_angulatus_gb,3.50,4.45,1.27
Spintharinae,Spintharus_flavidus_gb,3.05,4.20,1.38
Spintharinae,Stemmops_nipponicus_gb,2.30,2.75,1.20
Spintharinae,Thwaitesia_sp_gb,3.00,4.40,1.47
Argyrodinae,Argyrodes_argentatus_gb,3.00,5.30,1.77
Argyrodinae,Argyrodes_trigonum_gb,3.40,3.60,1.06
Argyrodinae,Ariamnes_cylindrogaster_gb,19.15,24.65,1.29
Argyrodinae,Rhomphaea_metalissima_gb,4.50,4.30,0.96
Anelosiminae,Anelosimus_eximius_gb,3.50,4.90,1.40
Anelosiminae,Anelosimus_rupununi_gb,1.80,2.25,1.25
Anelosiminae,Anelosimus_studiosus_gb,2.70,4.05,1.50
Anelosiminae,Kochiura_aulicus_gb,3.15,3.55,1.13
Theridiinae,Ameridion_petrum_gb,1.30,1.20,0.92
Theridiinae,Canalidion_montanum_JIE20D,3.00,3.55,1.18
Theridiinae,Chikunia_albipes_2004_gb,2.00,3.25,1.63
Theridiinae,Cryptachaea_riparia_JIE22D,2.80,3.35,1.20
Theridiinae,Echinotheridion_otlum_gb,1.40,2.60,1.86
Theridiinae,Nesticodes_rufipes_gb,3.20,4.95,1.55
Theridiinae,Paidiscura_pallens_JIE12D,1.60,1.90,1.19
Theridiinae,Sardinidion_blackwalli_JIE17D,2.25,2.75,1.22
Theridiinae,Takayus_takayensis_gb,2.65,3.00,1.13
Theridiinae,Theridion_grallator_gb,4.00,4.50,1.13
Theridiinae,Theridion_palmgreni_JIE19D,1.25,1.25,1.00
Theridiinae,Theridion_pennsylvanicum_gb,2.20,2.85,1.30
Theridiinae,Theridion_theridioides_gb,3.10,3.40,1.10
Theridiinae,Theridion_varians_gb,3.10,3.45,1.11
Theridiinae,Theridula_opulenta_gb,1.70,4.45,2.62
Theridiinae,Tidarren_sisyphoides_gb,1.45,6.85,4.72
Latrodectinae,Asagena_phalerata_JIE14D,4.60,5.10,1.11
Latrodectinae,Crustulina_sticta,2.40,2.85,1.19
Latrodectinae,Steatoda_bipunctata_gb,4.95,5.75,1.16
Latrodectinae,Steatoda_castanea_gb,4.90,6.35,1.30
Latrodectinae,Steatoda_cingulata_gb,5.10,7.15,1.40
Latrodectinae,Steatoda_triangulosa_gb,3.90,6.00,1.54
Latrodectinae,Latrodectus_mactans_gb,4.45,9.50,2.13
Latrodectinae,Latrodectus_geometricus_gb,4.10,9.90,2.41
Latrodectinae,L_antheratus_502_SantiagoDelEstero,2.90,6.55,2.26
Latrodectinae,L_antheratus_501_SanLuis,2.90,6.55,2.26
Latrodectinae,L_coralinus_JG013_SantiagoDelEstero,3.02,7.04,2.33
Latrodectinae,L_corallinus_506_SanLuis,3.02,7.04,2.33
Latrodectinae,L_geographicus_611_FrenchGuiana,3.02,7.04,2.33
Latrodectinae,L_curacaviensis_111_Colombia,1.93,6.10,3.16
Latrodectinae,L_curacaviensis_113_Colombia,1.93,6.10,3.16
Latrodectinae,L_dahli_640_Tadzhikistan,2.95,12.45,4.22
Latrodectinae,L_garbae_26_Colombia,2.74,7.00,2.55
Latrodectinae,L_garbae_31_Colombia,2.74,7.00,2.55
Latrodectinae,L_geometricus_609_WesternCape,4.10,9.90,2.41
Latrodectinae,L_geometricus_612_FrenchGuiana,4.10,9.90,2.41
Latrodectinae,L_hasselti_616_Queensland,4.50,9.25,2.06
Latrodectinae,L_hasselti_617_Quensland,4.50,9.25,2.06
Latrodectinae,L_hasselti_Lh5_NewZealand_EF121035_1,4.50,9.25,2.06
Latrodectinae,L_hesperus1_204_Texas,4.62,9.67,2.09
Latrodectinae,L_hesperus1_305_Utah,4.62,9.67,2.09
Latrodectinae,L_hesperus1_411_Kansas,4.62,9.67,2.09
Latrodectinae,L_hesperus1_628_Guanajuato,4.62,9.67,2.09
Latrodectinae,L_hesperus2_201_Linares,4.62,9.67,2.09
Latrodectinae,L_hesperus2_216_California,4.62,9.67,2.09
Latrodectinae,L_hesperus2_406_Arizona,4.62,9.67,2.09
Latrodectinae,L_hesperus3_14552_SanLuisPotosi,4.62,9.67,2.09
Latrodectinae,L_hesperus3_615_Oregon,4.62,9.67,2.09
Latrodectinae,L_hesperus3_662_BritishColumbia,4.62,9.67,2.09
Latrodectinae,L_hurtadoi_104_Colombia,3.56,6.65,1.87
Latrodectinae,L_hurtadoi_76_Colombia,3.56,6.65,1.87
Latrodectinae,L_hurtadoi_86_Colombia,3.56,6.65,1.87
Latrodectinae,L_hystrix_856_Socotra,2.50,6.25,2.50
Latrodectinae,L_indicus_14523_Maharashtra,2.27,9.34,4.11
Latrodectinae,L_indicus_14525_Baghdad,2.27,9.34,4.11
Latrodectinae,L_indicus_14572_Oman,2.27,9.34,4.11
Latrodectinae,L_indicus_633_UAE,2.27,9.34,4.11
Latrodectinae,L_indistinctus_603_WesternCape,3.40,13.80,4.06
Latrodectinae,L_indistinctus_604_WesternCape,3.40,13.80,4.06
Latrodectinae,L_insularis_16646_SintEustatius,4.80,8.74,1.82
Latrodectinae,L_katipo_205_NewZealand,4.80,6.95,1.45
Latrodectinae,L_katipo_JG029_NewZealand,4.80,6.95,1.45
Latrodectinae,L_mactans_101_Maryland,4.45,9.50,2.13
Latrodectinae,L_mactans_202_Texas,4.45,9.50,2.13
Latrodectinae,L_mactans_413_Georgia,4.45,9.50,2.13
Latrodectinae,L_mactans_644_Arizona,4.45,9.50,2.13
Latrodectinae,L_menavodi_602_Antsiranana,3.30,9.85,2.98
Latrodectinae,L_menavodi_JG045_Madagascar,3.30,9.85,2.98
Latrodectinae,L_pallidus_642_Kazakhstan,4.50,11.00,2.44
Latrodectinae,L_pallidus_JG048_Israel,4.50,11.00,2.44
Latrodectinae,L_quartus_509_Neuquen,2.90,10.30,3.55
Latrodectinae,L_quartus_510_Neuquen,2.90,10.30,3.55
Latrodectinae,L_renivulvatus_210_NorthernCape,3.30,11.15,3.38
Latrodectinae,L_renivulvatus_593_Yemen,3.30,11.15,3.38
Latrodectinae,L_renivulvatus_606_Limpopo,3.30,11.15,3.38
Latrodectinae,L_revivensis_653_Israel,5.75,15.05,2.62
Latrodectinae,L_revivensis_654_Israel,5.75,15.05,2.62
Latrodectinae,L_rhodesiensis_JG091_Botswana,3.15,10.90,3.46
Latrodectinae,L_rhodesiensis_JG114_Botswana,3.15,10.90,3.46
Latrodectinae,L_thoracicus_512_SanLuis,2.40,11.95,4.98
Latrodectinae,L_thoracicus_514_BuenosAires,2.40,11.95,4.98
Latrodectinae,L_thoracicus_LT0105Cv01,2.40,11.95,4.98
Latrodectinae,L_tredecimguttatus_207_Kazakhstan,5.50,10.10,1.84
Latrodectinae,L_tredecimguttatus_651_Israel,5.50,10.10,1.84
Latrodectinae,L_tredecimguttatus_705_Xinjiang,5.50,10.10,1.84
Latrodectinae,L_umbukwane_LPH01_KwaZuluNatal,3.15,15.15,4.81
Latrodectinae,L_variolus_215_Virginia,6.40,10.20,1.59
Latrodectinae,L_variolus_619_Massachusetts,6.40,10.20,1.59
